run,fit1,node1,fit2,node2
1,6.91,-106.76_-84.33_81.50_-6.27_49.05,6.56,-103.62_-79.89_81.50_-6.27_49.05
1,6.56,-103.62_-79.89_81.50_-6.27_49.05,6.55,-106.76_-75.45_81.50_-6.27_49.05
1,6.55,-106.76_-75.45_81.50_-6.27_49.05,0.93,-18.84_-22.19_32.60_-6.27_42.04
1,0.93,-18.84_-22.19_32.60_-6.27_42.04,0.92,-21.98_-17.75_32.60_-6.27_42.04
1,0.92,-21.98_-17.75_32.60_-6.27_42.04,0.44,-18.84_-13.32_27.17_6.27_21.02
1,0.44,-18.84_-13.32_27.17_6.27_21.02,0.44,-18.84_-13.32_27.17_6.27_21.02
1,0.44,-18.84_-13.32_27.17_6.27_21.02,0.4,-21.98_-13.32_21.73_6.27_21.02
1,0.4,-21.98_-13.32_21.73_6.27_21.02,0.35,-15.70_-13.32_27.17_6.27_14.01
1,0.35,-15.70_-13.32_27.17_6.27_14.01,0.26,-12.56_-13.32_21.73_6.27_14.01
1,0.26,-12.56_-13.32_21.73_6.27_14.01,0.26,-12.56_-13.32_21.73_6.27_14.01
1,0.26,-12.56_-13.32_21.73_6.27_14.01,0.22,-9.42_-8.88_21.73_6.27_14.01
1,0.22,-9.42_-8.88_21.73_6.27_14.01,0.16,-9.42_-8.88_16.30_0.00_14.01
1,0.16,-9.42_-8.88_16.30_0.00_14.01,0.14,-12.56_-8.88_10.87_0.00_14.01
1,0.14,-12.56_-8.88_10.87_0.00_14.01,0.07,6.28_-13.32_0.00_0.00_-7.01
1,0.07,6.28_-13.32_0.00_0.00_-7.01,0.07,3.14_-13.32_5.43_0.00_-7.01
1,0.07,3.14_-13.32_5.43_0.00_-7.01,0.04,0.00_-8.88_5.43_0.00_-7.01
1,0.04,0.00_-8.88_5.43_0.00_-7.01,0.04,0.00_-8.88_5.43_0.00_-7.01
1,0.04,0.00_-8.88_5.43_0.00_-7.01,0.03,-3.14_-4.44_5.43_0.00_-7.01
1,0.03,-3.14_-4.44_5.43_0.00_-7.01,0.01,-3.14_0.00_0.00_0.00_-7.01
1,0.01,-3.14_0.00_0.00_0.00_-7.01,0.01,-3.14_0.00_0.00_0.00_-7.01
1,0.01,-3.14_0.00_0.00_0.00_-7.01,0.01,-3.14_0.00_0.00_0.00_-7.01
1,0.01,-3.14_0.00_0.00_0.00_-7.01,0.0,0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00
1,0.0,0.00_0.00_0.00_0.00_0.00,0.0,0.00_0.00_0.00_0.00_0.00
2,3.11,50.24_0.00_-10.87_-12.54_98.10,3.09,47.10_0.00_-10.87_-18.81_98.10
2,3.09,47.10_0.00_-10.87_-18.81_98.10,0.47,-12.56_13.32_-27.17_0.00_28.03
2,0.47,-12.56_13.32_-27.17_0.00_28.03,0.46,-9.42_13.32_-27.17_6.27_28.03
2,0.46,-9.42_13.32_-27.17_6.27_28.03,0.41,-12.56_13.32_-21.73_6.27_28.03
2,0.41,-12.56_13.32_-21.73_6.27_28.03,0.27,-6.28_8.88_-27.17_6.27_14.01
2,0.27,-6.28_8.88_-27.17_6.27_14.01,0.26,-3.14_8.88_-27.17_0.00_14.01
2,0.26,-3.14_8.88_-27.17_0.00_14.01,0.26,-3.14_8.88_-27.17_0.00_14.01
